optimizer_type,learning_rate,momentum,weight_decay,batch_size,epochs,patience,model_type,rnn_type,num_layers,use_bidirectional,use_dropout,use_batch_norm,use_layer_norm,aggregation_method,hidden_size,output_size,freeze_embeddings,oov_handling_method,embedding_dim,glove_file_path,Epoch,Train Loss,Validation Accuracy,Test Accuracy
Adam,0.001,0.9,0.0001,32,100,10,RNN,LSTM,1,True,True,True,True,mean_pooling,64,2,False,random,100,glove.6B.100d.txt,1,0.57,60.23,74.3
Adam,0.001,0.9,0.0001,32,100,10,RNN,LSTM,1,True,True,True,True,mean_pooling,64,2,False,random,100,glove.6B.100d.txt,2,0.43,70.08,74.3
Adam,0.001,0.9,0.0001,32,100,10,RNN,LSTM,1,True,True,True,True,mean_pooling,64,2,False,random,100,glove.6B.100d.txt,3,0.28,74.02,74.3
Adam,0.001,0.9,0.0001,32,100,10,RNN,LSTM,1,True,True,True,True,mean_pooling,64,2,False,random,100,glove.6B.100d.txt,4,0.14,72.98,74.3
Adam,0.001,0.9,0.0001,32,100,10,RNN,LSTM,1,True,True,True,True,mean_pooling,64,2,False,random,100,glove.6B.100d.txt,5,0.11,71.29,74.3
Adam,0.001,0.9,0.0001,32,100,10,RNN,LSTM,1,True,True,True,True,mean_pooling,64,2,False,random,100,glove.6B.100d.txt,6,0.1,72.33,74.3
Adam,0.001,0.9,0.0001,32,100,10,RNN,LSTM,1,True,True,True,True,mean_pooling,64,2,False,random,100,glove.6B.100d.txt,7,0.09,73.08,74.3
Adam,0.001,0.9,0.0001,32,100,10,RNN,LSTM,1,True,True,True,True,mean_pooling,64,2,False,random,100,glove.6B.100d.txt,8,0.09,71.86,74.3
Adam,0.001,0.9,0.0001,32,100,10,RNN,LSTM,1,True,True,True,True,mean_pooling,64,2,False,random,100,glove.6B.100d.txt,9,0.09,74.11,74.3
Adam,0.001,0.9,0.0001,32,100,10,RNN,LSTM,1,True,True,True,True,mean_pooling,64,2,False,random,100,glove.6B.100d.txt,10,0.08,74.3,74.3
Adam,0.001,0.9,0.0001,32,100,10,RNN,LSTM,1,True,True,True,True,mean_pooling,64,2,False,random,100,glove.6B.100d.txt,11,0.08,73.83,74.3
Adam,0.001,0.9,0.0001,32,100,10,RNN,LSTM,1,True,True,True,True,mean_pooling,64,2,False,random,100,glove.6B.100d.txt,12,0.08,71.29,74.3
Adam,0.001,0.9,0.0001,32,100,10,RNN,LSTM,1,True,True,True,True,mean_pooling,64,2,False,random,100,glove.6B.100d.txt,13,0.08,74.2,74.3
Adam,0.001,0.9,0.0001,32,100,10,RNN,LSTM,1,True,True,True,True,mean_pooling,64,2,False,random,100,glove.6B.100d.txt,14,0.08,73.73,74.3
Adam,0.001,0.9,0.0001,32,100,10,RNN,LSTM,1,True,True,True,True,mean_pooling,64,2,False,random,100,glove.6B.100d.txt,15,0.08,73.83,74.3
Adam,0.001,0.9,0.0001,32,100,10,RNN,LSTM,1,True,True,True,True,mean_pooling,64,2,False,random,100,glove.6B.100d.txt,16,0.08,74.58,74.3
Adam,0.001,0.9,0.0001,32,100,10,RNN,LSTM,1,True,True,True,True,mean_pooling,64,2,False,random,100,glove.6B.100d.txt,17,0.09,72.05,74.3
Adam,0.001,0.9,0.0001,32,100,10,RNN,LSTM,1,True,True,True,True,mean_pooling,64,2,False,random,100,glove.6B.100d.txt,18,0.08,72.7,74.3
Adam,0.001,0.9,0.0001,32,100,10,RNN,LSTM,1,True,True,True,True,mean_pooling,64,2,False,random,100,glove.6B.100d.txt,19,0.08,73.17,74.3
Adam,0.001,0.9,0.0001,32,100,10,RNN,LSTM,1,True,True,True,True,mean_pooling,64,2,False,random,100,glove.6B.100d.txt,20,0.09,73.26,74.3
Adam,0.001,0.9,0.0001,32,100,10,RNN,LSTM,1,True,True,True,True,mean_pooling,64,2,False,random,100,glove.6B.100d.txt,21,0.08,73.83,74.3
Adam,0.001,0.9,0.0001,32,100,10,RNN,LSTM,1,True,True,True,True,mean_pooling,64,2,False,random,100,glove.6B.100d.txt,22,0.09,75.23,74.3
Adam,0.001,0.9,0.0001,32,100,10,RNN,LSTM,1,True,True,True,True,mean_pooling,64,2,False,random,100,glove.6B.100d.txt,23,0.09,74.39,74.3
Adam,0.001,0.9,0.0001,32,100,10,RNN,LSTM,1,True,True,True,True,mean_pooling,64,2,False,random,100,glove.6B.100d.txt,24,0.08,73.08,74.3
Adam,0.001,0.9,0.0001,32,100,10,RNN,LSTM,1,True,True,True,True,mean_pooling,64,2,False,random,100,glove.6B.100d.txt,25,0.08,71.39,74.3
Adam,0.001,0.9,0.0001,32,100,10,RNN,LSTM,1,True,True,True,True,mean_pooling,64,2,False,random,100,glove.6B.100d.txt,26,0.08,74.2,74.3
Adam,0.001,0.9,0.0001,32,100,10,RNN,LSTM,1,True,True,True,True,mean_pooling,64,2,False,random,100,glove.6B.100d.txt,27,0.08,72.42,74.3
Adam,0.001,0.9,0.0001,32,100,10,RNN,LSTM,1,True,True,True,True,mean_pooling,64,2,False,random,100,glove.6B.100d.txt,28,0.08,73.08,74.3
Adam,0.001,0.9,0.0001,32,100,10,RNN,LSTM,1,True,True,True,True,mean_pooling,64,2,False,random,100,glove.6B.100d.txt,29,0.08,72.8,74.3
Adam,0.001,0.9,0.0001,32,100,10,RNN,LSTM,1,True,True,True,True,mean_pooling,64,2,False,random,100,glove.6B.100d.txt,30,0.08,72.7,74.3
Adam,0.001,0.9,0.0001,32,100,10,RNN,LSTM,1,True,True,True,True,mean_pooling,64,2,False,random,100,glove.6B.100d.txt,31,0.08,72.7,74.3
Adam,0.001,0.9,0.0001,32,100,10,RNN,LSTM,1,True,True,True,True,mean_pooling,64,2,False,random,100,glove.6B.100d.txt,32,0.09,72.05,74.3
Adam,0.001,0.9,0.0001,32,100,10,RNN,LSTM,1,True,True,True,True,mean_pooling,128,2,False,unknown_token,100,glove.6B.100d.txt,1,0.57,71.11,78.52
Adam,0.001,0.9,0.0001,32,100,10,RNN,LSTM,1,True,True,True,True,mean_pooling,128,2,False,unknown_token,100,glove.6B.100d.txt,2,0.43,76.08,78.52
Adam,0.001,0.9,0.0001,32,100,10,RNN,LSTM,1,True,True,True,True,mean_pooling,128,2,False,unknown_token,100,glove.6B.100d.txt,3,0.27,76.17,78.52
Adam,0.001,0.9,0.0001,32,100,10,RNN,LSTM,1,True,True,True,True,mean_pooling,128,2,False,unknown_token,100,glove.6B.100d.txt,4,0.14,77.49,78.52
Adam,0.001,0.9,0.0001,32,100,10,RNN,LSTM,1,True,True,True,True,mean_pooling,128,2,False,unknown_token,100,glove.6B.100d.txt,5,0.11,77.77,78.52
Adam,0.001,0.9,0.0001,32,100,10,RNN,LSTM,1,True,True,True,True,mean_pooling,128,2,False,unknown_token,100,glove.6B.100d.txt,6,0.09,76.92,78.52
Adam,0.001,0.9,0.0001,32,100,10,RNN,LSTM,1,True,True,True,True,mean_pooling,128,2,False,unknown_token,100,glove.6B.100d.txt,7,0.08,77.3,78.52
Adam,0.001,0.9,0.0001,32,100,10,RNN,LSTM,1,True,True,True,True,mean_pooling,128,2,False,unknown_token,100,glove.6B.100d.txt,8,0.08,77.02,78.52
Adam,0.001,0.9,0.0001,32,100,10,RNN,LSTM,1,True,True,True,True,mean_pooling,128,2,False,unknown_token,100,glove.6B.100d.txt,9,0.08,77.3,78.52
Adam,0.001,0.9,0.0001,32,100,10,RNN,LSTM,1,True,True,True,True,mean_pooling,128,2,False,unknown_token,100,glove.6B.100d.txt,10,0.08,76.64,78.52
Adam,0.001,0.9,0.0001,32,100,10,RNN,LSTM,1,True,True,True,True,mean_pooling,128,2,False,unknown_token,100,glove.6B.100d.txt,11,0.08,76.92,78.52
Adam,0.001,0.9,0.0001,32,100,10,RNN,LSTM,1,True,True,True,True,mean_pooling,128,2,False,unknown_token,100,glove.6B.100d.txt,12,0.08,76.55,78.52
Adam,0.001,0.9,0.0001,32,100,10,RNN,LSTM,1,True,True,True,True,mean_pooling,128,2,False,unknown_token,100,glove.6B.100d.txt,13,0.08,76.64,78.52
Adam,0.001,0.9,0.0001,32,100,10,RNN,LSTM,1,True,True,True,True,mean_pooling,128,2,False,unknown_token,100,glove.6B.100d.txt,14,0.08,76.92,78.52
Adam,0.001,0.9,0.0001,32,100,10,RNN,LSTM,1,True,True,True,True,mean_pooling,128,2,False,unknown_token,100,glove.6B.100d.txt,15,0.08,76.64,78.52
