optimizer_type,learning_rate,momentum,weight_decay,batch_size,epochs,patience,model_type,num_filters,filter_sizes,dropout_rate,output_size,freeze_embeddings,oov_handling_method,embedding_dim,glove_file_path,Epoch,Train Loss,Validation Accuracy,Test Accuracy
Adam,0.001,0.9,0.0001,32,100,10,CNN,128,"[3, 4, 5]",0.7,2,False,random,100,glove.6B.100d.txt,17,0.19,73.92,75.52
Adam,0.001,0.9,0.0001,32,100,10,CNN,128,"[3, 4, 5]",0.7,2,False,random,100,glove.6B.100d.txt,18,0.2,73.36,75.52
Adam,0.001,0.9,0.0001,32,100,10,CNN,128,"[3, 4, 5]",0.7,2,False,random,100,glove.6B.100d.txt,19,0.2,74.39,75.52
Adam,0.001,0.9,0.0001,32,100,10,CNN,128,"[3, 4, 5]",0.7,2,False,random,100,glove.6B.100d.txt,20,0.19,73.73,75.52
Adam,0.001,0.9,0.0001,32,100,10,CNN,128,"[3, 4, 5]",0.7,2,False,random,100,glove.6B.100d.txt,21,0.19,74.39,75.52
Adam,0.001,0.9,0.0001,32,100,10,CNN,128,"[2, 3]",0.3,2,False,unknown_token,100,glove.6B.100d.txt,1,0.57,76.08,79.74
Adam,0.001,0.9,0.0001,32,100,10,CNN,128,"[2, 3]",0.3,2,False,unknown_token,100,glove.6B.100d.txt,2,0.41,76.45,79.74
Adam,0.001,0.9,0.0001,32,100,10,CNN,128,"[2, 3]",0.3,2,False,unknown_token,100,glove.6B.100d.txt,3,0.29,77.3,79.74
Adam,0.001,0.9,0.0001,32,100,10,CNN,128,"[2, 3]",0.3,2,False,unknown_token,100,glove.6B.100d.txt,4,0.16,77.58,79.74
Adam,0.001,0.9,0.0001,32,100,10,CNN,128,"[2, 3]",0.3,2,False,unknown_token,100,glove.6B.100d.txt,5,0.14,77.67,79.74
Adam,0.001,0.9,0.0001,32,100,10,CNN,128,"[2, 3]",0.3,2,False,unknown_token,100,glove.6B.100d.txt,6,0.12,77.3,79.74
Adam,0.001,0.9,0.0001,32,100,10,CNN,128,"[2, 3]",0.3,2,False,unknown_token,100,glove.6B.100d.txt,7,0.11,77.95,79.74
Adam,0.001,0.9,0.0001,32,100,10,CNN,128,"[2, 3]",0.3,2,False,unknown_token,100,glove.6B.100d.txt,8,0.11,77.95,79.74
Adam,0.001,0.9,0.0001,32,100,10,CNN,128,"[2, 3]",0.3,2,False,unknown_token,100,glove.6B.100d.txt,9,0.11,77.86,79.74
Adam,0.001,0.9,0.0001,32,100,10,CNN,128,"[2, 3]",0.3,2,False,unknown_token,100,glove.6B.100d.txt,10,0.11,78.05,79.74
Adam,0.001,0.9,0.0001,32,100,10,CNN,128,"[2, 3]",0.3,2,False,unknown_token,100,glove.6B.100d.txt,11,0.11,78.05,79.74
Adam,0.001,0.9,0.0001,32,100,10,CNN,128,"[2, 3]",0.3,2,False,unknown_token,100,glove.6B.100d.txt,12,0.11,78.05,79.74
Adam,0.001,0.9,0.0001,32,100,10,CNN,128,"[2, 3]",0.3,2,False,unknown_token,100,glove.6B.100d.txt,13,0.11,78.05,79.74
Adam,0.001,0.9,0.0001,32,100,10,CNN,128,"[2, 3]",0.3,2,False,unknown_token,100,glove.6B.100d.txt,14,0.11,78.05,79.74
Adam,0.001,0.9,0.0001,32,100,10,CNN,128,"[2, 3]",0.3,2,False,unknown_token,100,glove.6B.100d.txt,15,0.11,78.05,79.74
Adam,0.001,0.9,0.0001,32,100,10,CNN,128,"[2, 3]",0.3,2,False,unknown_token,100,glove.6B.100d.txt,16,0.11,78.05,79.74
Adam,0.001,0.9,0.0001,32,100,10,CNN,128,"[2, 3]",0.3,2,False,unknown_token,100,glove.6B.100d.txt,17,0.11,78.05,79.74
Adam,0.001,0.9,0.0001,32,100,10,CNN,128,"[2, 3]",0.3,2,False,unknown_token,100,glove.6B.100d.txt,18,0.11,78.05,79.74
Adam,0.001,0.9,0.0001,32,100,10,CNN,128,"[2, 3]",0.3,2,False,unknown_token,100,glove.6B.100d.txt,19,0.11,78.05,79.74
Adam,0.001,0.9,0.0001,32,100,10,CNN,128,"[2, 3]",0.3,2,False,unknown_token,100,glove.6B.100d.txt,20,0.11,78.05,79.74
